Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,45.709000,45.728001,45.296001,45.529999,45.529999,0
2004-01-01,45.528999,45.645000,45.001999,45.015999,45.015999,0
2004-02-01,45.000000,45.373001,45.000000,45.195999,45.195999,0
2004-03-01,45.165001,45.278999,43.294998,43.334000,43.334000,0
2004-04-01,43.331001,44.439999,43.275002,44.284000,44.284000,0
2004-05-01,44.284000,45.898998,44.259998,45.290001,45.290001,0
2004-06-01,45.290001,46.180000,44.801998,45.888000,45.888000,0
2004-07-01,45.900002,46.415001,45.501999,46.250999,46.250999,0
2004-08-01,46.237999,46.410000,46.105000,46.273998,46.273998,0
2004-09-01,46.266998,46.317001,45.693001,45.808998,45.808998,0
2004-10-01,45.806999,45.958000,45.244999,45.243999,45.243999,0
2004-11-01,45.317001,45.480000,44.408001,44.433998,44.433998,0
2004-12-01,44.428001,44.660000,43.265999,43.307999,43.307999,0
2005-01-01,43.320000,43.959000,43.250000,43.660000,43.660000,0
2005-02-01,43.652000,43.770000,43.219002,43.560001,43.560001,0
2005-03-01,43.550999,43.830002,43.396999,43.610001,43.610001,0
2005-04-01,43.737999,43.830002,43.361000,43.431999,43.431999,0
2005-05-01,43.432999,43.730000,43.130001,43.619999,43.619999,0
2005-06-01,43.609001,43.766998,43.340000,43.459999,43.459999,0
2005-07-01,43.500000,44.409000,43.000000,43.360001,43.360001,0
2005-08-01,43.353001,44.130001,43.285000,43.980000,43.980000,0
2005-09-01,43.966000,44.112000,43.632000,43.930000,43.930000,0
2005-10-01,43.880001,45.375000,43.855999,45.040001,45.040001,0
2005-11-01,45.041000,45.990002,44.973000,45.860001,45.860001,0
2005-12-01,45.847000,46.330002,44.840000,44.970001,44.970001,0
2006-01-01,44.970001,45.090000,43.858002,43.900002,43.900002,0
2006-02-01,43.889000,44.599998,43.883999,44.250000,44.250000,0
2006-03-01,44.220001,44.634998,44.035000,44.528000,44.528000,0
2006-04-01,44.470001,45.235001,44.334999,44.805000,44.805000,0
2006-05-01,44.805000,46.414001,44.625000,46.160000,46.160000,0
2006-06-01,46.148998,46.356998,45.580002,45.805000,45.805000,0
2006-07-01,45.805000,46.924999,45.785000,46.419998,46.419998,0
2006-08-01,46.407001,46.679001,46.255001,46.476002,46.476002,0
2006-09-01,46.480000,46.487000,45.694000,45.715000,45.715000,0
2006-10-01,45.715000,45.782001,44.824001,44.834999,44.834999,0
2006-11-01,44.840000,45.279999,44.395000,44.550999,44.550999,0
2006-12-01,44.560001,44.919998,44.040001,44.040001,44.040001,0
2007-01-01,44.220001,44.619999,43.965000,44.005001,44.005001,0
2007-02-01,44.000000,44.345001,43.117001,44.015999,44.015999,0
2007-03-01,44.020000,44.650002,42.709999,43.044998,43.044998,0
2007-04-01,43.044998,43.235001,40.485001,40.969002,40.969002,0
2007-05-01,40.980000,41.415001,40.075001,40.546001,40.546001,0
2007-06-01,40.549999,41.130001,40.124001,40.529999,40.529999,0
